ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
213.191.151.178,,13046,ISKON INTERNET d.d. za informatiku i telekomunikacije,HR,Opatija,,connection refused,,0.00,2023-04-20T15:48:10Z,2021-09-25T20:20:51Z
212.15.169.50,srv-212-15-169-50.static.a1.hr.,12810,A1 Hrvatska d.o.o.,HR,Zagreb,Microsoft DNS 6.1.7601 (1DB15F75),,false,1.00,2021-09-27T15:00:31Z,2021-09-25T21:49:11Z
185.46.34.49,cl49.db-informatika.hr.,198785,Sedmi Odjel d.o.o.,HR,Đakovo,,,false,1.00,2021-11-09T18:10:52Z,2021-10-01T14:32:41Z
212.15.184.190,srv-212-15-184-190.static.a1.hr.,12810,A1 Hrvatska d.o.o.,HR,,,,false,0.67,2021-11-09T22:22:59Z,2021-10-03T04:49:35Z
85.114.38.206,,34594,Telemach Hrvatska d.o.o.,HR,Zagreb,,i/o timeout,,0.00,2023-02-14T09:38:56Z,2021-10-18T04:14:47Z
161.53.147.66,,2108,Croatian Academic and Research Network,HR,Marcana,,i/o timeout,,0.00,2023-02-14T05:35:27Z,2021-10-18T04:27:18Z
89.201.162.14,mail.auxilium.hr.,34594,OPTIMA TELEKOM d.d.,HR,Zagreb,,,false,1.00,2021-10-28T13:21:55Z,2021-10-28T13:21:55Z
31.45.206.221,srv-31-45-206-221.static.a1.hr.,12810,A1 Hrvatska d.o.o.,HR,Zadar,,i/o timeout,,0.19,2022-11-08T23:32:53Z,2022-09-29T10:07:10Z
46.229.246.213,,56681,FASTNET j.d.o.o.,HR,Nedelisce,,,false,1.00,2022-10-02T19:23:45Z,2022-10-02T19:23:45Z
31.45.223.14,srv-31-45-223-14.static.a1.hr.,12810,A1 Hrvatska d.o.o.,HR,Grabrov Potok,dnsmasq-2.78,,false,0.81,2022-10-04T08:36:44Z,2022-10-03T01:13:11Z
31.45.222.31,srv-31-45-222-31.static.a1.hr.,12810,A1 Hrvatska d.o.o.,HR,Plitvica Lakes,dnsmasq-2.78,,false,1.00,2022-10-03T16:59:27Z,2022-10-03T16:59:27Z
