ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
62.129.252.215,dns5.home.pl.,12824,home.pl S.A.,PL,,,i/o timeout,,0.00,2023-03-08T22:47:55Z,2020-09-05T14:06:35Z
62.129.252.252,dns4.home.pl.,12824,home.pl S.A.,PL,,,i/o timeout,,0.00,2022-08-07T18:24:57Z,2020-09-05T14:06:38Z
212.33.80.231,,8865,Politechnika Bialostocka,PL,Bialystok,,i/o timeout,,0.00,2023-03-02T22:47:07Z,2020-11-22T11:41:17Z
193.111.144.161,prsrv2.man.radom.pl.,16263,Uniwersytet Technologiczno-Humanistyczny Im. Kazimierza Pulaskiego W Radomiu,PL,Radom,,i/o timeout,,0.00,2021-04-23T22:25:28Z,2021-02-12T12:39:51Z
212.67.131.4,,44514,INEA S.A.,PL,Swarzedz,,i/o timeout,,0.00,2021-05-03T22:25:37Z,2021-02-12T12:58:44Z
212.85.112.32,cloudserver004096.home.pl.,12824,home.pl S.A.,PL,,home.pl,,false,0.98,2021-05-03T22:24:27Z,2021-02-12T13:10:14Z
217.173.198.3,apollo.po.opole.pl.,21182,Opole University,PL,Opole,,REFUSED for example.com,,0.00,2021-09-01T16:50:14Z,2021-02-12T15:49:24Z
151.115.56.180,180-56-115-151.instances.scw.cloud.,12876,Online S.a.s.,PL,Warsaw,,i/o timeout,,0.00,2023-02-24T17:47:18Z,2021-04-13T07:01:26Z
46.170.35.251,orj251.internetdsl.tpnet.pl.,5617,Orange Polska Spolka Akcyjna,PL,Gmina Grabów nad Prosną,,,false,0.33,2021-09-28T14:01:33Z,2021-05-14T06:30:34Z
34.118.27.163,163.27.118.34.bc.googleusercontent.com.,396982,GOOGLE-CLOUD-PLATFORM,PL,Warsaw,,i/o timeout,,0.00,2022-04-22T07:03:21Z,2021-05-16T13:05:38Z
78.9.110.22,,12741,Netia SA,PL,Wroclaw,,i/o timeout,,0.19,2022-05-01T07:06:35Z,2021-06-09T14:15:44Z
78.133.154.1,,12912,T-Mobile Polska S.A.,PL,Zielona Gora,,,false,0.59,2022-08-23T05:23:45Z,2021-09-24T01:32:24Z
